datetime,signal_datetime,trigger,trigger_type,signal_regime,signal_transition,desired_weight,scheduled_target_weight,side,exec_price,trade_notional,btc_delta,fee_paid,pre_trade_equity,pre_trade_weight
2021-01-01 04:00:00+08:00,2021-01-01 00:00:00+08:00,Bull,regime,Bull,START,0.9,0.25,BUY,28926.737839999998,25000.0,0.864252310035109,12.5,100000.0,0.0
2021-01-01 08:00:00+08:00,2021-01-01 04:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.5000111070024605,BUY,28952.55363,24996.203510525196,0.863350564166633,12.498101755262597,99984.81404210078,0.25001110700246054
2021-01-01 12:00:00+08:00,2021-01-01 08:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.7529964604602944,BUY,29307.688409999995,25140.061594936968,0.8577974913353793,12.570030797468483,100560.24637974783,0.5029964604602944
2021-01-05 16:00:00+08:00,2021-01-05 12:00:00+08:00,Bull -> Bear,transition,Bear,Bull -> Bear,0.15,0.5124345745132495,SELL,30786.962219999998,26125.61014625601,-0.8485933090626313,13.062805073128006,104502.44058502404,0.7624345745132495
2021-01-07 00:00:00+08:00,2021-01-06 20:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.7909831501501116,BUY,34600.746179999995,27743.379202651486,0.8018144770151743,13.871689601325743,110973.51681060594,0.5409831501501116
2021-01-12 00:00:00+08:00,2021-01-11 20:00:00+08:00,Bull -> Bear,transition,Bear,Bull -> Bear,0.15,0.52570189186013,SELL,31551.23718,25837.7828096297,-0.8189150448277193,12.91889140481485,103351.13123851878,0.77570189186013
2021-01-13 08:00:00+08:00,2021-01-13 04:00:00+08:00,Bear,regime,Bear,Bear,0.2,0.2944004030563364,SELL,34015.10085,26891.116376031307,-0.7905640643141384,13.445558188015653,107564.46550412523,0.5444004030563364
2021-01-20 04:00:00+08:00,2021-01-20 00:00:00+08:00,Bear -> Bull,transition,Bull,Bear -> Bull,1.0,0.5575842769048999,BUY,36317.94166,27398.279464171348,0.7544006684262995,13.699139732085674,109593.11785668539,0.30758427690489987
2021-01-21 12:00:00+08:00,2021-01-21 08:00:00+08:00,Bear,regime,Bear,Bear,0.2,0.2956057989240525,SELL,34537.84758,26668.48478056297,-0.772152483410866,13.334242390281485,106673.93912225188,0.5456057989240525
2021-02-03 12:00:00+08:00,2021-02-03 08:00:00+08:00,Bear -> Bull,transition,Bull,Bear -> Bull,1.0,0.5563366958413903,BUY,36439.87347,27076.237646872258,0.7430387393952786,13.538118823436129,108304.95058748903,0.30633669584139034
2021-02-04 20:00:00+08:00,2021-02-04 16:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.8124355793930188,BUY,37356.749429999996,27445.898165646286,0.7346971721154457,13.722949082823144,109783.59266258516,0.5624355793930188
2021-02-23 20:00:00+08:00,2021-02-23 16:00:00+08:00,Bull -> Bear,transition,Bear,Bull -> Bear,0.15,0.5933481058294438,SELL,46312.78086,32839.96837348092,-0.709090833322094,16.41998418674046,131359.87349392372,0.8433481058294438
2021-02-25 04:00:00+08:00,2021-02-25 00:00:00+08:00,Bear,regime,Bear,Bear,0.2,0.3563467934332176,SELL,48910.97007,33913.93776254087,-0.6933810086776891,16.956968881270434,135655.75105016344,0.6063467934332176
2021-03-04 08:00:00+08:00,2021-03-04 04:00:00+08:00,Bear -> Bull,transition,Bull,Bear -> Bull,1.0,0.6126732745294585,BUY,50399.71937,34243.93591816222,0.6794469561778081,17.12196795908111,136975.7436726489,0.3626732745294585
2021-03-05 16:00:00+08:00,2021-03-05 12:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.848133097962822,BUY,47427.38,32994.28494160589,0.6956801101306016,16.497142470802945,131977.13976642356,0.598133097962822
2021-03-16 16:00:00+08:00,2021-03-16 12:00:00+08:00,Bull -> Bear,transition,Bear,Bull -> Bear,0.15,0.6169257039013017,SELL,55184.57019,37622.70926973458,-0.6817613898269012,18.81135463486729,150490.83707893832,0.8669257039013017
2021-03-18 00:00:00+08:00,2021-03-17 20:00:00+08:00,Bear,regime,Bear,Bear,0.2,0.36557688452830484,SELL,54875.07,37478.46956209283,-0.6829780729590473,18.739234781046417,149913.87824837133,0.6155768845283048
2021-03-19 00:00:00+08:00,2021-03-18 20:00:00+08:00,Bear -> Bull,transition,Bull,Bear -> Bull,1.0,0.6343216915511489,BUY,59593.203669999995,38611.921660666616,0.6479249189971703,19.30596083033331,154447.6866426664,0.38432169155114887
2021-03-20 08:00:00+08:00,2021-03-20 04:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.8783555274925511,BUY,58088.04001,37979.08149526328,0.6538192972034361,18.98954074763164,151916.3259810531,0.6283555274925511
2021-03-24 00:00:00+08:00,2021-03-23 20:00:00+08:00,Bull -> Bear,transition,Bear,Bull -> Bear,0.15,0.6229241363022011,SELL,55110.034799999994,36318.446440759784,-0.6590169389760535,18.159223220379893,145273.78576303917,0.8729241363022011
2021-03-25 08:00:00+08:00,2021-03-25 04:00:00+08:00,Bear,regime,Bear,Bear,0.2,0.3603163499963987,SELL,52251.356340000006,35131.75303577694,-0.6723605949513413,17.565876517888473,140527.01214310774,0.6103163499963987
2021-03-29 00:00:00+08:00,2021-03-28 20:00:00+08:00,Bear -> Bull,transition,Bull,Bear -> Bull,1.0,0.6275648049415197,BUY,56413.33698,36098.24239085707,0.6398884434660342,18.049121195428537,144392.96956342825,0.3775648049415196
2021-03-30 08:00:00+08:00,2021-03-30 04:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.8827846488583935,BUY,57693.09545999999,36599.07905273173,0.6343753747466497,18.299539526365866,146396.31621092692,0.6327846488583935
2021-04-04 00:00:00+08:00,2021-04-03 20:00:00+08:00,Bull -> Consolidation,transition,Consolidation,Bull -> Consolidation,0.35,0.6349705408949256,SELL,58771.16001,37254.79586780672,-0.6338958744640698,18.62739793390336,149019.18347122695,0.8849705408949256
2021-04-11 12:00:00+08:00,2021-04-11 08:00:00+08:00,Consolidation -> Bull,transition,Bull,Consolidation -> Bull,0.85,0.85,BUY,60328.84858,31686.335175645043,0.5252269174941552,15.843167587822522,151276.195768019,0.6405398465715265
2021-04-12 20:00:00+08:00,2021-04-12 16:00:00+08:00,Consolidation,regime,Consolidation,Consolidation,0.55,0.6000003587252675,SELL,60181.2585,37792.73404408258,-0.6279817834664022,18.89636702204129,151170.93617633032,0.8500003587252675
2021-04-14 12:00:00+08:00,2021-04-14 08:00:00+08:00,Consolidation -> Bull,transition,Bull,Consolidation -> Bull,0.85,0.85,BUY,63812.93919,36990.41987276042,0.579669583352417,18.495209936380213,156393.3600127678,0.6134783224189279
2021-04-17 08:00:00+08:00,2021-04-17 04:00:00+08:00,Bull -> Consolidation,transition,Consolidation,Bull -> Consolidation,0.35,0.5950774092516161,SELL,61273.47519,37826.16318050328,-0.6173334067181588,18.91308159025164,151304.6527220131,0.8450774092516161
2021-04-19 08:00:00+08:00,2021-04-19 04:00:00+08:00,Consolidation -> Bear,transition,Bear,Consolidation -> Bear,0.2,0.3236021615658492,SELL,56093.859990000004,35909.98439146072,-0.6401767394481764,17.95499219573036,143639.9375658429,0.5736021615658492
2021-04-28 00:00:00+08:00,2021-04-27 20:00:00+08:00,Bear -> Bull,transition,Bull,Bear -> Bull,1.0,0.5688897560585783,BUY,55036.84185999999,35654.943217426924,0.6478377394568572,17.827471608713463,142619.7728697077,0.3188897560585783
2021-04-29 08:00:00+08:00,2021-04-29 04:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.818247254923701,BUY,54901.07623,35591.56154887835,0.6482853159339305,17.795780774439176,142366.2461955134,0.568247254923701
2021-04-30 16:00:00+08:00,2021-04-30 12:00:00+08:00,Bull -> Consolidation,transition,Consolidation,Bull -> Consolidation,0.35,0.5669299613581097,SELL,54288.76689,35311.158045431745,-0.6504321256177964,17.655579022715873,141244.632181727,0.8169299613581097
2021-05-02 00:00:00+08:00,2021-05-01 20:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.8300925204938914,BUY,57413.94658999999,36407.52172943122,0.6341233078684135,18.20376086471561,145630.08691772487,0.5800925204938914
2021-05-05 20:00:00+08:00,2021-05-05 16:00:00+08:00,Bull -> Bear,transition,Bear,Bull -> Bear,0.15,0.5744427749378137,SELL,55053.841049999995,35209.93972025807,-0.6395546441215672,17.604969860129035,140839.75888103232,0.8244427749378137
2021-05-07 04:00:00+08:00,2021-05-07 00:00:00+08:00,Bear,regime,Bear,Bear,0.2,0.32888289312159247,SELL,56072.29158,35570.73021927835,-0.6343726859910575,17.785365109639176,142282.92087711344,0.5788828931215925
2021-05-07 20:00:00+08:00,2021-05-07 16:00:00+08:00,Bear -> Consolidation,transition,Consolidation,Bear -> Consolidation,0.6,0.5800756907078756,BUY,56521.204739999994,35627.4266838545,0.6303373547634418,17.81371334192725,142509.706735418,0.33007569070787557
2021-05-09 08:00:00+08:00,2021-05-09 04:00:00+08:00,Consolidation -> Bull,transition,Bull,Consolidation -> Bull,0.85,0.840136911964307,BUY,58925.39652999999,36491.13460160003,0.6192768610903064,18.245567300800015,145964.53840640016,0.590136911964307
2021-05-10 16:00:00+08:00,2021-05-10 12:00:00+08:00,Consolidation,regime,Consolidation,Consolidation,0.55,0.589069075004866,SELL,58311.799829999996,36220.65847001725,-0.6211548704655591,18.110329235008628,144882.63388006904,0.839069075004866
2021-05-12 00:00:00+08:00,2021-05-11 20:00:00+08:00,Consolidation -> Bear,transition,Bear,Consolidation -> Bear,0.2,0.3291992557631481,SELL,55996.77717,35360.348836106394,-0.6314711421472757,17.6801744180532,141441.39534442557,0.5791992557631481
2021-06-04 08:00:00+08:00,2021-06-04 04:00:00+08:00,Bear -> Bull,transition,Bull,Bear -> Bull,1.0,0.5056298919063762,BUY,39286.02677999999,31859.59244503614,0.8109649933155227,15.929796222518071,127438.3697801446,0.25562989190637625
2021-06-05 16:00:00+08:00,2021-06-05 12:00:00+08:00,Bear,regime,Bear,Bear,0.2,0.24473488049875342,SELL,37544.547869999995,31164.723437389064,-0.8300732118362055,15.582361718694532,124658.89374955627,0.4947348804987534
2021-06-12 08:00:00+08:00,2021-06-12 04:00:00+08:00,Bear -> Bull,transition,Bull,Bear -> Bull,1.0,0.49334453229917663,BUY,37369.31198,31102.310080759726,0.8322954968345587,15.551155040379863,124409.24032303889,0.2433445322991766
2021-06-13 16:00:00+08:00,2021-06-13 12:00:00+08:00,Bear,regime,Bear,Bear,0.2,0.22915793459832623,SELL,35246.73798,30247.686810076593,-0.8581698206296421,15.123843405038297,120990.74724030637,0.47915793459832623
2021-06-15 00:00:00+08:00,2021-06-14 20:00:00+08:00,Bear -> Bull,transition,Bull,Bear -> Bull,1.0,0.5051390628522388,BUY,40726.055369999995,31297.665444397666,0.768492434635652,15.648832722198833,125190.66177759065,0.25513906285223875
2021-06-16 08:00:00+08:00,2021-06-16 04:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.7517301131034141,BUY,40183.9438,31075.68860043282,0.7733359561495509,15.53784430021641,124302.75440173128,0.5017301131034141
2021-06-19 00:00:00+08:00,2021-06-18 20:00:00+08:00,Bull -> Bear,transition,Bear,Bull -> Bear,0.15,0.4828038000047665,SELL,36319.614030000004,28859.965946841636,-0.7946110309157829,14.429982973420818,115439.86378736651,0.7328038000047665
2021-06-20 08:00:00+08:00,2021-06-20 04:00:00+08:00,Bear,regime,Bear,Bear,0.2,0.22668273262072963,SELL,35448.236280000005,28515.507043530986,-0.8044266805911445,14.257753521765494,114062.02817412396,0.47668273262072963
2021-06-29 08:00:00+08:00,2021-06-29 04:00:00+08:00,Bear -> Bull,transition,Bull,Bear -> Bull,1.0,0.4716039391371737,BUY,34529.384889999994,28324.872972786932,0.8203121214878653,14.162436486393466,113299.49189114773,0.2216039391371737
2021-06-30 16:00:00+08:00,2021-06-30 12:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.7269338667197963,BUY,35285.790539999995,28606.728178525052,0.8107152409153607,14.303364089262526,114426.91271410024,0.4769338667197963
2021-07-02 08:00:00+08:00,2021-07-02 04:00:00+08:00,Bull -> Bear,transition,Bear,Bull -> Bear,0.15,0.4667587527522329,SELL,33468.82767,27566.439861265368,-0.8236452179642588,13.783219930632685,110265.7594450615,0.7167587527522329
2021-07-03 16:00:00+08:00,2021-07-03 12:00:00+08:00,Bear,regime,Bear,Bear,0.2,0.22396345175227644,SELL,34465.03047,27937.444684733746,-0.8106026399440391,13.968722342366874,111749.77873893498,0.47396345175227644
2021-07-04 12:00:00+08:00,2021-07-04 08:00:00+08:00,Bear -> Bull,transition,Bull,Bear -> Bull,1.0,0.474511816867188,BUY,34676.26162,27952.696676622912,0.8061046771114687,13.976348338311457,111810.78670649165,0.224511816867188
2021-07-05 20:00:00+08:00,2021-07-05 16:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.7151989259917905,BUY,33413.33996,27459.402041049667,0.8218095549239331,13.729701020524834,109837.6081641987,0.46519892599179047
2021-07-06 08:00:00+08:00,2021-07-06 04:00:00+08:00,Bull -> Consolidation,transition,Consolidation,Bull -> Consolidation,0.35,0.46709739847995335,SELL,33656.45985,27631.540769359526,-0.820987735861338,13.815770384679764,110526.16307743809,0.7170973984799534
2021-07-20 20:00:00+08:00,2021-07-20 16:00:00+08:00,Consolidation -> Bear,transition,Bear,Consolidation -> Bear,0.2,0.2,SELL,29663.93637,24604.113584194398,-0.8294284776405215,12.302056792097199,104362.47206725675,0.43575633172370803
2021-07-22 20:00:00+08:00,2021-07-22 16:00:00+08:00,Bear -> Bull,transition,Bull,Bear -> Bull,1.0,0.46162383738742685,BUY,31945.553639999995,26471.397651211148,0.8286410669078375,13.235698825605574,105885.59060484459,0.21162383738742682
2021-07-24 04:00:00+08:00,2021-07-24 00:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.7141431451724122,BUY,32280.888639999997,26589.676764195778,0.823697174533414,13.29483838209789,106358.70705678308,0.4641431451724122
2021-08-03 16:00:00+08:00,2021-08-03 12:00:00+08:00,Bull -> Bear,transition,Bear,Bull -> Bear,0.15,0.49937589394452586,SELL,38554.83657,30314.393059293347,-0.7862669318868636,15.157196529646674,121257.57223717342,0.7493758939445259
2021-08-05 00:00:00+08:00,2021-08-04 20:00:00+08:00,Bear,regime,Bear,Bear,0.2,0.25386117494113236,SELL,39262.698,30580.808960053415,-0.7788769116185907,15.290404480026707,122323.23584021366,0.5038611749411324
2021-08-06 00:00:00+08:00,2021-08-05 20:00:00+08:00,Bear -> Consolidation,transition,Consolidation,Bear -> Consolidation,0.6,0.5010373794111984,BUY,38788.74999999999,30460.407019710558,0.785289730133365,15.23020350985528,121841.62807884222,0.25103737941119836
2021-08-07 08:00:00+08:00,2021-08-07 04:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.7760189207423103,BUY,42879.706869999995,32057.813328067205,0.7476220260846949,16.028906664033602,128231.25331226877,0.5260189207423103
2021-08-17 20:00:00+08:00,2021-08-17 16:00:00+08:00,Bull -> Consolidation,transition,Consolidation,Bull -> Consolidation,0.35,0.5412359145220142,SELL,46798.30485,34375.33991905315,-0.7345424162100425,17.187669959526573,137501.35967621263,0.7912359145220142
2021-08-20 20:00:00+08:00,2021-08-20 16:00:00+08:00,Consolidation -> Bull,transition,Bull,Consolidation -> Bull,0.85,0.7915643525223933,BUY,46969.262339999994,34390.59451466316,0.7321936262425697,17.19529725733158,137562.37805865263,0.5415643525223933
2021-08-25 20:00:00+08:00,2021-08-25 16:00:00+08:00,Bull -> Consolidation,transition,Consolidation,Bull -> Consolidation,0.35,0.543863633784711,SELL,47522.43999,34753.33897662339,-0.7313037584757102,17.376669488311695,139013.35590649355,0.793863633784711
2021-09-03 08:00:00+08:00,2021-09-03 04:00:00+08:00,Consolidation -> Bull,transition,Bull,Consolidation -> Bull,0.85,0.8023967222052327,BUY,49295.87662999999,35406.16964503014,0.7182379554942939,17.70308482251507,141624.67858012056,0.5523967222052327
2021-09-05 12:00:00+08:00,2021-09-05 08:00:00+08:00,Bull -> Consolidation,transition,Consolidation,Bull -> Consolidation,0.35,0.5537796014627938,SELL,49613.55678,35633.1424099322,-0.7182138254658751,17.816571204966102,142532.56963972878,0.8037796014627938
2021-09-07 04:00:00+08:00,2021-09-07 00:00:00+08:00,Consolidation -> Bull,transition,Bull,Consolidation -> Bull,0.85,0.8137199031690154,BUY,51767.115399999995,36434.806400645364,0.7038214534288184,18.217403200322682,145739.22560258146,0.5637199031690154
2021-09-08 20:00:00+08:00,2021-09-08 16:00:00+08:00,Bull -> Bear,transition,Bear,Bull -> Bear,0.15,0.5467567133036633,SELL,46348.42518,33371.45853020965,-0.7200127814614489,16.685729265104825,133485.83412083858,0.7967567133036633
2021-09-10 04:00:00+08:00,2021-09-10 00:00:00+08:00,Bear,regime,Bear,Bear,0.2,0.29767636246629114,SELL,46520.6328,33430.08602472065,-0.7186077233394953,16.715043012360326,133720.34409888258,0.5476763624662911
2021-09-16 04:00:00+08:00,2021-09-16 00:00:00+08:00,Bear -> Bull,transition,Bull,Bear -> Bull,1.0,0.5541794399221327,BUY,48123.515439999996,33736.5151391424,0.7010401220834502,16.8682575695712,134946.0605565696,0.30417943992213264
2021-09-17 12:00:00+08:00,2021-09-17 08:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.8032330279429378,BUY,47947.72983,33655.61008412024,0.701922910708122,16.82780504206012,134622.44033648097,0.5532330279429378
2021-09-18 00:00:00+08:00,2021-09-17 20:00:00+08:00,Bull -> Consolidation,transition,Consolidation,Bull -> Consolidation,0.35,0.5520483637919288,SELL,47479.99247999999,33432.94182609595,-0.7041480017120667,16.716470913047974,133731.76730438377,0.8020483637919288
2021-09-21 08:00:00+08:00,2021-09-21 04:00:00+08:00,Consolidation -> Bear,transition,Bear,Consolidation -> Bear,0.2,0.27723064270198905,SELL,42973.62336,31669.061552741354,-0.736941851224466,15.834530776370677,126676.2462109654,0.527230642701989
2021-10-01 12:00:00+08:00,2021-10-01 08:00:00+08:00,Bear -> Consolidation,transition,Consolidation,Bear -> Consolidation,0.6,0.5299651099084519,BUY,43679.425789999994,31783.832904405754,0.7276614179228147,15.891916452202878,127135.33161762299,0.27996510990845186
2021-10-02 20:00:00+08:00,2021-10-02 16:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.8019383558248473,BUY,47731.14345999999,33333.666518794795,0.6983630414538324,16.666833259397396,133334.66607517915,0.5519383558248473
2021-10-23 20:00:00+08:00,2021-10-23 16:00:00+08:00,Bull -> Bear,transition,Bear,Bull -> Bear,0.15,0.5894410244646974,SELL,61490.68776,41093.64840418508,-0.6682905965302391,20.54682420209254,164374.5936167403,0.8394410244646974
2021-10-25 04:00:00+08:00,2021-10-25 00:00:00+08:00,Bear,regime,Bear,Bear,0.2,0.3358061015843373,SELL,60582.44691,40720.613095206885,-0.6721520039575253,20.360306547603443,162882.45238082757,0.5858061015843373
2021-10-27 04:00:00+08:00,2021-10-27 00:00:00+08:00,Bear -> Consolidation,transition,Consolidation,Bear -> Consolidation,0.6,0.590634309157308,BUY,62062.01001,41011.070270254364,0.6608079606774947,20.505535135127182,164044.28108101746,0.34063430915730797
2021-10-28 12:00:00+08:00,2021-10-28 08:00:00+08:00,Bear,regime,Bear,Bear,0.2,0.32789904941780534,SELL,58780.9602,39761.57529720817,-0.6764363011750898,19.880787648604084,159046.30118883267,0.5778990494178053
2021-10-29 20:00:00+08:00,2021-10-29 16:00:00+08:00,Bear -> Consolidation,transition,Consolidation,Bear -> Consolidation,0.6,0.5855487987344036,BUY,61001.840899999996,40211.865530674004,0.6591910168185434,20.105932765337002,160847.46212269602,0.3355487987344036
2021-11-03 16:00:00+08:00,2021-11-03 12:00:00+08:00,Consolidation -> Bull,transition,Bull,Consolidation -> Bull,0.85,0.8450649421174269,BUY,63458.014619999994,41144.44814496304,0.6483727609718756,20.57222407248152,164577.79257985216,0.5950649421174269
2021-11-05 00:00:00+08:00,2021-11-04 20:00:00+08:00,Consolidation,regime,Consolidation,Consolidation,0.55,0.5901020382981367,SELL,60973.97499,39835.24449639075,-0.6533155252371836,19.917622248195375,159340.97798556302,0.8401020382981367
2021-11-09 04:00:00+08:00,2021-11-09 00:00:00+08:00,Consolidation -> Bull,transition,Bull,Consolidation -> Bull,0.85,0.85,BUY,65900.84500999999,40292.72164545789,0.6114143398213445,20.146360822728944,166672.68549438444,0.6082524003501735
2021-11-12 08:00:00+08:00,2021-11-12 04:00:00+08:00,Bull -> Consolidation,transition,Consolidation,Bull -> Consolidation,0.35,0.5979844627346833,SELL,64709.47575,41082.571085703166,-0.6348772047608988,20.541285542851583,164330.28434281267,0.8479844627346833
2021-11-17 08:00:00+08:00,2021-11-17 04:00:00+08:00,Consolidation -> Bear,transition,Bear,Consolidation -> Bear,0.2,0.3296613406059161,SELL,59998.81113,39279.509978154056,-0.6546714716237754,19.63975498907703,157118.0399126162,0.5796613406059161
2021-11-25 00:00:00+08:00,2021-11-24 20:00:00+08:00,Bear -> Consolidation,transition,Consolidation,Bear -> Consolidation,0.6,0.5670514015143973,BUY,56784.257529999995,38547.0651525468,0.6788336561798275,19.2735325762734,154188.26061018725,0.3170514015143973
2021-11-27 16:00:00+08:00,2021-11-27 12:00:00+08:00,Consolidation -> Bear,transition,Bear,Consolidation -> Bear,0.2,0.30667629234373595,SELL,54340.155450000006,37634.07903129888,-0.6925648025782171,18.81703951564944,150536.31612519556,0.556676292343736
2021-11-30 08:00:00+08:00,2021-11-30 04:00:00+08:00,Bear -> Bull,transition,Bull,Bear -> Bull,1.0,0.5695095177038599,BUY,57834.026249999995,38336.899085352685,0.6628779210292779,19.168449542676342,153347.5963414107,0.31950951770385994
2021-12-05 00:00:00+08:00,2021-12-04 20:00:00+08:00,Consolidation -> Bear,transition,Bear,Consolidation -> Bear,0.2,0.274620240001463,SELL,48155.53626,34706.732286324164,-0.7207215406954781,17.353366143162084,138826.92914529663,0.524620240001463
2021-12-12 16:00:00+08:00,2021-12-12 12:00:00+08:00,Bear -> Consolidation,transition,Consolidation,Bear -> Consolidation,0.6,0.5289787383777277,BUY,49350.50119999999,34910.51392578514,0.707399379477531,17.45525696289257,139642.05570314056,0.2789787383777277
2021-12-14 20:00:00+08:00,2021-12-14 16:00:00+08:00,Consolidation -> Bear,transition,Bear,Consolidation -> Bear,0.2,0.2702849806254861,SELL,47570.37201,34268.74255552624,-0.7203799572625255,17.13437127776312,137074.97022210495,0.5202849806254861
2021-12-17 04:00:00+08:00,2021-12-17 00:00:00+08:00,Bear -> Consolidation,transition,Consolidation,Bear -> Consolidation,0.6,0.5211295190917259,BUY,47913.87601,34302.572541928814,0.7159214699050772,17.15128627096441,137210.29016771525,0.2711295190917259
2021-12-22 12:00:00+08:00,2021-12-22 08:00:00+08:00,Consolidation -> Bull,transition,Bull,Consolidation -> Bull,0.85,0.778178499761096,BUY,49298.248999999996,34805.96280513158,0.7060283785156666,17.402981402565793,139223.85122052633,0.528178499761096
2021-12-24 00:00:00+08:00,2021-12-23 20:00:00+08:00,Bull -> Consolidation,transition,Consolidation,Bull -> Consolidation,0.35,0.5267043132589884,SELL,48770.51067,34556.6914164935,-0.7085570961173103,17.27834570824675,138226.76566597397,0.7767043132589884
2021-12-25 08:00:00+08:00,2021-12-25 04:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.7866520207625439,BUY,50870.809989999994,35289.27316344202,0.6937037796406045,17.64463658172101,141157.09265376805,0.5366520207625439
2021-12-27 04:00:00+08:00,2021-12-27 00:00:00+08:00,Bull -> Consolidation,transition,Consolidation,Bull -> Consolidation,0.35,0.5351087101883435,SELL,50292.16749,35015.304555286595,-0.696237730502448,17.5076522776433,140061.2182211464,0.7851087101883435
2021-12-30 00:00:00+08:00,2021-12-29 20:00:00+08:00,Consolidation -> Bear,transition,Bear,Consolidation -> Bear,0.2,0.2729767086827585,SELL,47911.40064,34115.59452337699,-0.7120558795539522,17.057797261688496,136462.37809350796,0.5229767086827585
2022-01-02 08:00:00+08:00,2022-01-02 04:00:00+08:00,Bear -> Consolidation,transition,Consolidation,Bear -> Consolidation,0.6,0.521848320009327,BUY,47770.382659999996,34056.870357879576,0.7129285649703769,17.028435178939787,136227.48143151833,0.271848320009327
2022-01-07 00:00:00+08:00,2022-01-06 20:00:00+08:00,Consolidation -> Bear,transition,Bear,Consolidation -> Bear,0.2,0.2454657179881511,SELL,42907.06998,32267.564858293637,-0.7520337527902584,16.13378242914682,129070.25943317453,0.4954657179881511
2022-01-14 08:00:00+08:00,2022-01-14 04:00:00+08:00,Bear -> Consolidation,transition,Consolidation,Bear -> Consolidation,0.6,0.49362318717587395,BUY,42600.90834999999,32183.62861511506,0.7554681311182668,16.09181430755753,128734.51446046022,0.24362318717587392
2022-01-22 04:00:00+08:00,2022-01-22 00:00:00+08:00,Consolidation -> Bear,transition,Bear,Consolidation -> Bear,0.2,0.21518240400304994,SELL,37946.12589,30464.630280701036,-0.8028390136324673,15.232315140350519,121858.52112280414,0.46518240400304994
2022-01-30 00:00:00+08:00,2022-01-29 20:00:00+08:00,Bear -> Consolidation,transition,Consolidation,Bear -> Consolidation,0.6,0.4631541242618069,BUY,37605.547979999996,30381.260877326644,0.8078930506074399,15.190630438663323,121525.04350930656,0.21315412426180688
